date,time,temperature_2m,temp_f
2026-06-25,2026-06-25T15:45,28.2,
2026-06-25,2026-06-25T16:15,28.2,
2026-06-26,2026-06-26T03:15,28.2,
2026-06-26,2026-06-26T07:30,28.2,
2026-06-26,2026-06-26T11:45,27.7,
2026-06-26,2026-06-26T14:15,27.7,81.9
2026-06-26,2026-06-26T14:30,27.8,82.0
2026-06-26,2026-06-26T14:45,27.9,82.2
2026-06-26,2026-06-26T14:45,27.9,82.2
2026-06-26,2026-06-26T14:45,27.9,82.2
2026-06-26,2026-06-26T15:00,27.9,82.2
2026-06-26,2026-06-26T15:30,27.9,82.2
2026-06-26,2026-06-26T15:30,27.9,82.2
2026-06-26,2026-06-26T15:45,27.9,82.2
2026-06-26,2026-06-26T15:45,27.9,82.2
2026-06-26,2026-06-26T16:00,27.9,82.2
2026-06-26,2026-06-26T16:00,27.9,82.2
2026-06-26,2026-06-26T16:15,27.9,82.2
2026-06-27,2026-06-27T02:30,27.5,81.5
2026-06-27,2026-06-27T07:00,27.5,81.5
2026-06-27,2026-06-27T11:00,27.6,81.7
2026-06-27,2026-06-27T16:00,27.8,82.0
2026-06-28,2026-06-28T03:00,27.8,82.0
2026-06-28,2026-06-28T07:00,28.2,82.8
2026-06-28,2026-06-28T11:00,28.2,82.8
2026-06-28,2026-06-28T16:00,28.6,83.5
2026-06-29,2026-06-29T05:00,26.3,79.3
2026-06-29,2026-06-29T12:00,26.3,79.3
2026-06-29,2026-06-29T16:00,28.0,82.4
2026-06-30,2026-06-30T03:30,27.7,81.9
2026-06-30,2026-06-30T12:00,28.3,82.9
2026-06-30,2026-06-30T16:15,28.1,82.6
2026-07-01,2026-07-01T03:45,27.8,82.0
2026-07-01,2026-07-01T07:45,27.6,81.7
2026-07-01,2026-07-01T12:00,28.2,82.8
2026-07-01,2026-07-01T16:15,28.3,82.9
2026-07-02,2026-07-02T03:00,27.8,82.0
2026-07-02,2026-07-02T07:15,27.9,82.2
2026-07-02,2026-07-02T11:30,28.4,83.1
2026-07-02,2026-07-02T16:15,28.4,83.1
2026-07-03,2026-07-03T03:00,27.7,81.9
2026-07-03,2026-07-03T11:15,28.4,83.1
2026-07-03,2026-07-03T16:00,26.5,79.7
2026-07-04,2026-07-04T02:15,27.9,82.2
2026-07-04,2026-07-04T06:45,28.1,82.6
2026-07-04,2026-07-04T11:00,28.9,84.0
2026-07-04,2026-07-04T16:00,28.8,83.8
2026-07-05,2026-07-05T02:45,28.2,82.8
2026-07-05,2026-07-05T06:45,28.5,83.3
2026-07-05,2026-07-05T11:00,28.5,83.3
2026-07-05,2026-07-05T16:00,28.5,83.3
2026-07-06,2026-07-06T04:30,28.1,82.6
2026-07-06,2026-07-06T08:45,28.1,82.6
2026-07-06,2026-07-06T12:00,28.4,83.1
2026-07-06,2026-07-06T16:15,27.9,82.2
2026-07-07,2026-07-07T03:30,27.8,82.0
2026-07-07,2026-07-07T07:45,27.6,81.7
2026-07-07,2026-07-07T12:00,28.0,82.4
2026-07-07,2026-07-07T16:00,28.3,82.9
